DESTINATION ADDRESS,DESTINATION SSID,SOURCE ADDRESS,SOURCE SSID,INFORMATION FIELD (HEX),RECIEVED CRC-16,CALCULATED CRC-16
GROUND,14,DOCKER,11,ea070609072718400800000100c00b020002008d0c010026073600010003000000030000005e3e92ff170017000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,b180,b180
GROUND,14,DOCKER,11,ea070609072719410800000000b30b010002008b0c02002e071d0001000300000006000000d43dbbff170018000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,d31f,d31f
GROUND,14,DOCKER,11,ea07060907271a410800000000cb0b010000007b0c01002107110001000300000003000000d53d9aff170017000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,af74,af74
GROUND,14,DOCKER,11,ea07060907271b460801000100b90b020001008c0c02002407240003000300000003000000663d6dff170017000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,aaab,aaab
GROUND,14,DOCKER,11,ea07060907271c4b0801000100c40b010001007f0c01002a07340001000300000003000000ea3d5dff180018000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,9cf8,9cf8
GROUND,14,DOCKER,11,ea07060907271d440800000100b20b01000100800c01002a07390002000300000000000000cb3d63ff180018000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,e250,e250
GROUND,14,DOCKER,11,ea07060907271e440802000100bf0b020001007f0c01002b07490001000300000003000000063e86ff170018000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0437,0437
GROUND,14,DOCKER,11,ea07060907271f3c0800000100c00b020001008e0c01002407120002000300000003000000d13d76ff180018000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,4d68,4d68
GROUND,14,DOCKER,11,ea070609072720400801000100c40b01000100910c01002c071c0001000300000003000000163e8dff180018000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,6739,6739
GROUND,14,DOCKER,11,ea070609072721400801000100bf0b02000100920c000022071a0001000300000003000000163e8dff180017000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,e958,e958
GROUND,14,DOCKER,11,ea070609072722480801000100bf0b02000100800c01002f07180004000300000003000000213e84ff170019000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,402f,402f
GROUND,14,DOCKER,11,ea0706090727233d0801000100b80b010002008b0c00002a07190004000300000003000000d13d8aff180017000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2d1e,2d1e
GROUND,14,DOCKER,11,ea070609072724400802000100c00b01000200850c010028072d0002000300000003000000003ed3ff170019000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,100e,100e
GROUND,14,DOCKER,11,ea070609072725400802000100b70b020001008b0c010029072400030003000000030000009a3d8cff170019000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2502,2502
GROUND,14,DOCKER,11,ea0706090727264c0801000100c00b00000100800c00002107290001000300000003000000823d7dff180017000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,3666,3666
GROUND,14,DOCKER,11,ea0706090727274a0802000200b60b020001008c0c020024070a0002000300000003000000e23d97ff180018000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,eb36,eb36
GROUND,14,DOCKER,11,ea0706090727284a0802000200b60b02000100800c01002707140002000300000003000000e23d97ff180018000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1490,1490
GROUND,14,DOCKER,11,ea070609072729460801000100c10b000001007f0c020027073500020003000000030000004a3e91ff180018000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,e6f9,e6f9
GROUND,14,DOCKER,11,ea07060907272a460801000100c00b02000100870c01002a072d00010003000000030000004a3e91ff180017000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,efd4,efd4
GROUND,14,DOCKER,11,ea07060907272b400801000100b70b010001007f0c02002707340002000300000003000000d23d80ff180018000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8eed,8eed
GROUND,14,DOCKER,11,ea07060907272c400801000100bf0b010001007f0c01002607270002000300000003000000d23d80ff180017000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7acb,7acb
GROUND,14,DOCKER,11,ea07060907272d400801000100b50b01000100800c01002707330001000300000003000000d23d80ff180018000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,a73e,a73e
GROUND,14,DOCKER,11,ea07060907272e400801000100c00b010000008d0c01002c07300001000300000003000000843d5aff180018000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0bc3,0bc3
GROUND,14,DOCKER,11,ea07060907272f3f0801000100bb0b020001007f0c02002a07320002000300000003000000733e12ff170018000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,b43b,b43b
GROUND,14,DOCKER,11,ea0706090727303f0801000100bf0b04000100870c01002207260001000300000003000000733e12ff170017000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,d055,d055
GROUND,14,DOCKER,11,ea0706090727313c0800000000bb0b010001007f0c02003107100003000300000003000000733e12ff170017000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,532d,532d
GROUND,14,DOCKER,11,ea070609072732400800000000b40b010002007e0c01001f071d0001000300000003000000543e62ff180018000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,29ca,29ca
GROUND,14,DOCKER,11,ea0706090727333e0802000100c50b010001007f0c01002d070e0001000300000003000000d33d94ff170018000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,6428,6428
GROUND,14,DOCKER,11,ea0706090727343a0800000000bc0b020001008e0c010024070d0001000300000003000000d33d94ff170018000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7395,7395
